ProductID,LocationID,Shelf,Bin,Quantity,ModifiedDate
1,1,A,1,408,2014-08-08 00:00:00.0000000
1,6,B,5,324,2014-08-08 00:00:00.0000000
1,50,A,5,353,2014-08-08 00:00:00.0000000
2,1,A,2,427,2014-08-08 00:00:00.0000000
2,6,B,1,318,2014-08-08 00:00:00.0000000
2,50,A,6,364,2014-08-08 00:00:00.0000000
3,1,A,7,585,2008-03-31 00:00:00.0000000
3,6,B,9,443,2008-03-31 00:00:00.0000000
3,50,A,10,324,2008-03-31 00:00:00.0000000
4,1,A,6,512,2014-08-08 00:00:00.0000000
4,6,B,10,422,2014-08-08 00:00:00.0000000
4,50,A,11,388,2014-08-08 00:00:00.0000000
316,5,A,11,532,2008-03-31 00:00:00.0000000
316,10,B,1,388,2008-03-31 00:00:00.0000000
316,50,B,8,441,2008-03-31 00:00:00.0000000
317,1,C,1,283,2014-08-09 00:00:00.0000000
317,5,A,1,158,2014-08-09 00:00:00.0000000
317,50,A,21,152,2014-08-09 00:00:00.0000000
318,1,C,2,136,2014-08-09 00:00:00.0000000
318,5,A,2,171,2014-08-09 00:00:00.0000000
318,50,A,22,132,2014-08-09 00:00:00.0000000
319,1,C,3,308,2014-08-09 00:00:00.0000000
319,5,A,3,184,2014-08-09 00:00:00.0000000
319,50,A,23,305,2014-08-09 00:00:00.0000000
320,1,C,4,481,2014-08-09 00:00:00.0000000
320,5,A,4,372,2014-08-09 00:00:00.0000000
320,50,A,24,283,2014-08-09 00:00:00.0000000
321,1,C,6,569,2014-08-09 00:00:00.0000000
321,5,A,6,540,2014-08-09 00:00:00.0000000
321,50,A,26,641,2014-08-09 00:00:00.0000000
322,1,C,7,622,2014-08-09 00:00:00.0000000
322,5,A,7,587,2014-08-09 00:00:00.0000000
322,50,A,27,475,2014-08-09 00:00:00.0000000
323,1,C,35,603,2014-08-09 00:00:00.0000000
323,5,A,12,568,2014-08-09 00:00:00.0000000
323,50,A,28,513,2014-08-09 00:00:00.0000000
324,1,C,36,585,2008-03-31 00:00:00.0000000
324,5,A,13,568,2008-03-31 00:00:00.0000000
324,50,A,29,476,2008-03-31 00:00:00.0000000
325,1,H,1,569,2014-08-12 00:00:00.0000000
325,6,G,1,540,2014-08-12 00:00:00.0000000
325,60,A,1,641,2014-08-12 00:00:00.0000000
326,1,H,2,622,2014-08-12 00:00:00.0000000
326,6,G,2,587,2014-08-12 00:00:00.0000000
326,60,A,2,475,2014-08-12 00:00:00.0000000
327,5,K,1,408,2008-03-31 00:00:00.0000000
327,10,F,1,443,2008-03-31 00:00:00.0000000
327,50,B,9,513,2008-03-31 00:00:00.0000000
328,5,A,8,568,2008-03-31 00:00:00.0000000
328,10,D,1,585,2008-03-31 00:00:00.0000000
328,50,A,14,476,2008-03-31 00:00:00.0000000
329,5,A,9,558,2008-03-31 00:00:00.0000000
329,10,D,2,576,2008-03-31 00:00:00.0000000
329,50,A,15,467,2008-03-31 00:00:00.0000000
330,5,A,10,548,2008-03-31 00:00:00.0000000
330,10,D,3,566,2008-03-31 00:00:00.0000000
330,50,A,16,457,2008-03-31 00:00:00.0000000
331,5,J,5,574,2008-03-31 00:00:00.0000000
331,10,C,6,441,2008-03-31 00:00:00.0000000
331,50,A,12,390,2008-03-31 00:00:00.0000000
332,5,J,6,344,2014-08-12 00:00:00.0000000
332,10,C,7,233,2014-08-12 00:00:00.0000000
332,50,A,13,267,2014-08-12 00:00:00.0000000
341,1,E,4,372,2014-08-12 00:00:00.0000000
341,50,G,10,392,2014-08-12 00:00:00.0000000
341,60,S,1,339,2014-08-12 00:00:00.0000000
342,1,E,5,369,2014-08-12 00:00:00.0000000
342,50,G,12,388,2014-08-12 00:00:00.0000000
342,60,G,11,336,2014-08-12 00:00:00.0000000
343,1,E,6,568,2014-08-10 00:00:00.0000000
343,50,S,3,606,2014-08-10 00:00:00.0000000
343,60,S,2,499,2014-08-10 00:00:00.0000000
344,1,E,7,358,2014-08-10 00:00:00.0000000
344,50,G,14,332,2014-08-10 00:00:00.0000000
344,60,G,13,382,2014-08-10 00:00:00.0000000
345,1,E,8,321,2014-08-10 00:00:00.0000000
345,50,G,15,315,2014-08-10 00:00:00.0000000
345,60,S,4,300,2014-08-10 00:00:00.0000000
346,1,E,9,585,2014-08-10 00:00:00.0000000
346,50,S,6,476,2014-08-10 00:00:00.0000000
346,60,S,5,641,2014-08-10 00:00:00.0000000
347,1,E,10,318,2014-08-12 00:00:00.0000000
347,50,G,17,246,2014-08-12 00:00:00.0000000
347,60,G,16,332,2014-08-12 00:00:00.0000000
348,1,E,11,323,2014-08-12 00:00:00.0000000
