ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
357,20130626,20130708,20130703,13607,1,100,8,SO60895,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
480,20130626,20130708,20130703,13607,1,100,8,SO60895,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
363,20130626,20130708,20130703,13405,1,100,7,SO60896,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
477,20130626,20130708,20130703,13405,1,100,7,SO60896,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
478,20130626,20130708,20130703,13405,1,100,7,SO60896,3,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
222,20130626,20130708,20130703,13405,1,100,7,SO60896,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
528,20130626,20130708,20130703,13523,1,6,9,SO60897,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
535,20130626,20130708,20130703,13523,1,6,9,SO60897,2,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
480,20130626,20130708,20130703,13523,2,6,9,SO60897,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
480,20130626,20130708,20130703,18714,1,6,9,SO60898,1,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,NA,NA,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
